TimeSec,BandwidthMbps
11.0,125103.73
11.0,120878.59
11.0,124740.38
11.0,125126.51
11.0,119845.62
11.0,124831.02
11.0,124559.50
11.0,121476.89
11.0,125377.63
11.0,125103.73
11.0,120687.53
11.0,124921.79
11.0,123729.70
11.0,120772.37
11.0,123729.70
11.0,121756.69
11.0,121476.89
11.0,123087.01
11.0,125035.44
11.0,121391.06
11.0,124087.17
11.0,125286.19
11.0,119408.30
11.0,124536.93
11.0,121929.52
11.0,125126.51
11.0,125217.71
11.0,121498.37
11.0,124831.02
11.0,124649.88
11.1,119491.35
11.1,125286.19
11.1,124921.79
11.1,121134.28
11.1,124921.79
11.1,124740.38
11.1,121134.28
11.1,122450.96
11.1,124536.93
11.1,121670.46
11.1,125309.04
11.1,124559.50
11.1,121412.50
11.1,124740.38
11.1,125012.69
11.1,120623.97
11.1,125035.44
11.1,125012.69
11.1,121843.04
11.1,125126.51
11.1,125103.73
11.1,122016.12
11.1,122450.96
11.1,124740.38
11.1,121670.46
11.1,119741.20
11.1,124356.64
11.1,121305.34
11.1,120857.33
11.1,124740.38
11.1,124379.14
11.1,124109.58
11.1,130372.75
11.1,126252.94
11.1,131094.00
11.1,130969.08
12.0,123087.01
12.0,123908.18
12.0,114685.38
12.0,118074.70
12.0,121843.04
12.0,124356.64
12.0,124356.64
12.0,123529.53
12.0,123818.88
12.0,124199.31
12.0,125126.51
12.0,123285.75
12.0,124921.79
12.0,124649.88
12.0,123462.95
12.0,125103.73
12.0,124469.26
12.0,123729.70
12.0,123707.43
12.0,124469.26
12.0,123997.61
12.0,125103.73
12.0,124469.26
12.0,121648.92
12.0,125103.73
12.0,125012.69
12.0,120265.10
12.0,125103.73
12.0,125012.69
12.0,124379.14
12.0,125012.69
12.0,124649.88
12.0,124469.26
12.0,123551.74
12.0,124649.88
12.0,123729.70
12.0,125194.89
12.1,124176.86
12.1,124649.88
12.1,124559.50
12.1,125194.89
12.1,123197.34
12.1,125035.44
12.1,124740.38
12.1,123908.18
12.1,124469.26
12.1,124649.88
12.1,123640.66
12.1,123818.88
12.1,124559.50
12.1,124379.14
12.1,125217.71
12.1,125012.69
12.1,124469.26
12.1,124921.79
12.1,124356.64
12.1,120878.59
12.1,125012.69
12.1,123551.74
12.1,124717.74
12.1,125012.69
12.1,120518.20
12.1,124921.79
12.1,123729.70
12.1,124446.72
12.1,124446.72
12.1,125194.89
12.1,123175.26
12.1,125012.69
12.1,125400.50
12.1,123729.70
12.1,124649.88
12.1,124717.74
12.1,123640.66
13.0,125217.71
13.0,124740.38
13.0,124469.26
13.0,125012.69
13.0,121562.85
13.0,120772.37
13.0,125767.71
13.0,131873.88
13.0,128567.78
13.0,129463.97
13.0,129439.59
13.0,127778.87
13.0,125035.44
13.0,125103.73
13.0,123997.61
13.0,124627.27
13.0,125103.73
13.0,123729.70
13.0,125012.69
13.0,125012.69
13.0,121476.89
13.0,122276.65
13.0,125103.73
13.0,124019.99
13.0,125492.11
13.0,124199.31
13.0,123087.01
13.0,125492.11
13.0,125012.69
13.0,124559.50
13.0,129757.32
13.0,131570.89
13.0,130348.02
13.0,128471.63
13.0,123551.74
13.0,125583.84
13.0,121929.52
13.1,130769.70
13.1,126625.16
13.1,129757.32
13.1,124627.27
13.1,123729.70
13.1,125126.51
13.1,125126.51
13.1,123462.95
13.1,125309.04
13.1,124289.16
13.1,124379.14
13.1,125103.73
13.1,125103.73
13.1,121562.85
13.1,125012.69
13.1,125012.69
13.1,123087.01
13.1,124469.26
13.1,125103.73
13.1,124109.58
13.1,125103.73
13.1,125012.69
13.1,123352.14
13.1,124921.79
13.1,125012.69
13.1,123462.95
13.1,125012.69
13.1,124379.14
13.1,120539.34
13.1,125035.44
13.1,125217.71
13.1,124289.16
13.1,124469.26
13.1,124921.79
13.1,124740.38
13.1,125126.51
13.1,125217.71
14.0,123640.66
14.0,125194.89
14.0,114360.92
14.0,122735.27
14.0,121048.93
14.0,119929.28
14.0,123640.66
14.0,123263.64
14.0,119657.80
14.0,123285.75
14.0,123997.61
14.0,120963.70
14.0,123997.61
14.0,121929.52
14.0,123462.95
14.0,120793.60
14.0,120623.97
14.0,123729.70
14.0,123818.88
14.0,120265.10
14.0,123087.01
14.0,123285.75
14.0,120370.43
14.0,123374.28
14.0,123908.18
