TimeSec,BandwidthMbps
12.0,123529.53
12.0,123729.70
12.0,124921.79
12.0,125767.71
12.0,124831.02
12.0,125859.85
12.0,125377.63
12.0,124087.17
12.0,124921.79
12.0,125217.71
12.0,124559.50
12.0,122016.12
12.0,125469.19
12.0,124559.50
12.0,125126.51
12.0,125492.11
12.0,121048.93
12.1,125492.11
12.1,125309.04
12.1,124289.16
12.1,124831.02
12.1,125583.84
12.1,121756.69
12.1,125492.11
12.1,123729.70
12.1,127305.44
12.1,128664.06
12.1,129439.59
12.1,122189.68
12.1,128543.73
12.1,128447.62
12.1,122735.27
12.1,123109.06
12.1,130570.92
12.1,129074.90
12.1,131696.97
12.1,125744.70
12.1,124176.86
12.1,128953.79
12.1,126044.53
12.1,123087.01
12.1,128857.07
12.1,131696.97
12.1,127494.39
12.1,129634.93
12.1,130348.02
12.1,122735.27
12.1,127211.18
12.1,128953.79
12.1,124740.38
12.1,122735.27
12.1,125286.19
12.1,119992.10
12.1,125675.71
12.1,125400.50
13.0,121670.46
13.0,125012.69
13.0,124627.27
13.0,121756.69
13.0,125400.50
13.0,125309.04
13.0,121929.52
13.0,125012.69
13.0,125560.89
13.0,120433.71
13.0,125194.89
13.0,125194.89
13.0,121929.52
13.0,125012.69
13.0,125492.11
13.0,120878.59
13.0,125492.11
13.0,125194.89
13.0,120963.70
13.0,125103.73
13.0,125675.71
13.0,123908.18
13.0,125377.63
13.0,125583.84
13.0,123997.61
13.0,124559.50
13.0,125400.50
13.0,122735.27
13.0,125469.19
13.0,125492.11
13.0,124559.50
13.0,125035.44
13.0,123818.88
13.0,125103.73
13.0,125583.84
13.0,124831.02
13.0,125400.50
13.1,124944.50
13.1,121048.93
13.1,125767.71
13.1,125952.12
13.1,120878.59
13.1,125012.69
13.1,125194.89
13.1,121562.85
13.1,125194.89
13.1,125675.71
13.1,121929.52
13.1,125469.19
13.1,125286.19
13.1,120013.06
13.1,125675.71
13.1,125194.89
13.1,122538.30
13.1,125675.71
13.1,124559.50
13.1,122298.41
13.1,125492.11
13.1,124717.74
13.1,124559.50
13.1,125583.84
13.1,125103.73
13.1,123640.66
13.1,125675.71
13.1,124559.50
13.1,123640.66
13.1,125377.63
13.1,124831.02
13.1,123729.70
13.1,125469.19
13.1,125583.84
13.1,124559.50
13.1,125560.89
13.1,125103.73
14.0,118318.66
14.0,119574.52
14.0,119574.52
14.0,118727.50
14.0,119908.35
14.0,119908.35
14.0,118645.51
14.0,119908.35
14.0,118237.23
14.0,119929.28
14.0,118135.60
14.0,118481.86
14.0,119325.36
14.0,119845.62
14.0,118074.70
14.0,119242.54
14.0,120096.95
14.0,118481.86
14.0,119992.10
14.0,119678.64
14.0,118727.50
14.0,120180.97
14.0,119678.64
14.0,118400.20
14.0,119845.62
14.0,119408.30
14.0,112673.35
14.0,118809.61
14.0,119077.24
14.0,119325.36
14.0,119159.83
14.0,117912.62
14.0,116276.61
14.0,124649.88
14.0,124109.58
14.1,124559.50
14.1,125126.51
14.1,123729.70
14.1,124379.14
14.1,124109.58
14.1,123640.66
14.1,124469.26
14.1,127281.86
14.1,126812.10
14.1,131798.00
14.1,130546.12
14.1,124649.88
14.1,132000.53
14.1,132000.53
14.1,128160.16
14.1,127305.44
14.1,127023.06
14.1,126531.90
14.1,125492.11
14.1,125194.89
14.1,124536.93
14.1,125012.69
14.1,125126.51
14.1,124559.50
14.1,125469.19
14.1,125103.73
14.1,125767.71
14.1,129855.40
14.1,128953.79
14.1,125286.19
14.1,131570.89
14.1,128567.78
14.1,125309.04
14.1,129366.48
14.1,128664.06
14.1,129953.62
14.1,131696.97
14.1,127093.54
15.0,55499.50
15.0,57854.42
15.0,57261.46
15.0,56948.27
15.0,56074.64
15.0,60174.67
15.0,65684.84
15.0,57099.69
15.0,123997.61
15.0,123618.41
15.0,124446.72
15.0,123462.95
15.0,121584.35
15.0,124740.38
15.0,125286.19
15.0,120433.71
15.0,125377.63
15.0,125286.19
15.0,122823.01
15.0,124469.26
15.0,125492.11
15.0,122102.84
15.0,124831.02
